LayerParent;Layer;art;x1;y1;w;h;ArtboardName
GelPolishMain;941755;941755;-51;-6;30;94;GP
GelPolishMain;941754;941754;-51;-6;30;94;GP
GelPolishMain;941753;941753;-51;-6;30;94;GP
GelPolishMain;941752;941752;-51;-6;30;94;GP
GelPolishMain;941751;941751;-51;-6;30;94;GP
GelPolishMain;941750;941750;-51;-6;30;94;GP
GelPolishMain;941749;941749;-51;-6;30;94;GP
GelPolishMain;941748;941748;-51;-6;30;94;GP
GelPolishMain;941747;941747;-51;-6;30;94;GP
GelPolishMain;941746;941746;-51;-6;30;94;GP
GelPolishMain;941745;941745;-51;-6;30;94;GP
GelPolishMain;941744;941744;-51;-6;30;94;GP
GelPolishMain;941743;941743;-51;-6;30;94;GP
GelPolishMain;941742;941742;-51;-6;30;94;GP
GelPolishMain;941741;941741;-51;-6;30;94;GP
GelPolishMain;941740;941740;-51;-6;30;94;GP
GelPolishMain;941739;941739;-51;-6;30;94;GP
GelPolishMain;941738;941738;-51;-6;30;94;GP
GelPolishMain;941737;941737;-51;-6;30;94;GP
GelPolishMain;941736;941736;-51;-6;30;94;GP
GelPolishMain;941735;941735;-51;-6;30;94;GP
GelPolishMain;941734;941734;-51;-6;30;94;GP
GelPolishMain;941733;941733;-51;-6;30;94;GP
GelPolishMain;941732;941732;-51;-6;30;94;GP
GelPolishMain;941731;941731;-51;-6;30;94;GP
GelPolishMain;941730;941730;-51;-6;30;94;GP
GelPolishMain;941729;941729;-51;-6;30;94;GP
GelPolishMain;941728;941728;-51;-6;30;94;GP
GelPolishMain;941727;941727;-51;-6;30;94;GP
GelPolishMain;941726;941726;-51;-6;30;94;GP
GelPolishMain;941725;941725;-51;-6;30;94;GP
GelPolishMain;941724;941724;-51;-6;30;94;GP
GelPolishMain;941723;941723;-51;-6;30;94;GP
GelPolishMain;941722;941722;-51;-6;30;94;GP
GelPolishMain;941721;941721;-51;-6;30;94;GP
GelPolishMain;941720;941720;-51;-6;30;94;GP
GelPolishMain;941719;941719;-51;-6;30;94;GP
GelPolishMain;941718;941718;-51;-6;30;94;GP
GelPolishMain;941717;941717;-51;-6;30;94;GP
GelPolishMain;941716;941716;-51;-6;30;94;GP
GelPolishMain;941715;941715;-51;-6;30;94;GP
GelPolishMain;941714;941714;-51;-6;30;94;GP
GelPolishMain;941713;941713;-51;-6;30;94;GP
GelPolishMain;941712;941712;-51;-6;30;94;GP
GelPolishMain;941711;941711;-51;-6;30;94;GP
GelPolishMain;941710;941710;-51;-6;30;94;GP
GelPolishMain;941709;941709;-51;-6;30;94;GP
GelPolishMain;941708;941708;-51;-6;30;94;GP
GelPolishMain;941707;941707;-51;-6;30;94;GP
GelPolishMain;941706;941706;-51;-6;30;94;GP
GelPolishMain;941705;941705;-51;-6;30;94;GP
GelPolishMain;941701 Base coat EW;941701;-5;-6;30;94;GP-Ingredients
GelPolishMain;941700 Top coat EW;941700;-5;-6;30;94;GP-Ingredients
GelPolishMain;941694;941694;-51;-6;30;94;GP
GelPolishMain;941693;941693;-51;-6;30;94;GP
GelPolishMain;941688;941688;-51;-6;30;94;GP
GelPolishMain;941653;941653;-51;-6;30;94;GP
GelPolishMain;941652;941652;-51;-6;30;94;GP
GelPolishMain;941651;941651;-51;-6;30;94;GP
GelPolishMain;941650;941650;-51;-6;30;94;GP
GelPolishMain;941649;941649;-51;-6;30;94;GP
GelPolishMain;941648;941648;-51;-6;30;94;GP
GelPolishMain;941646;941646;-51;-6;30;94;GP
GelPolishMain;941645;941645;-51;-6;30;94;GP
GelPolishMain;941644;941644;-51;-6;30;94;GP
GelPolishMain;941643;941643;-51;-6;30;94;GP
GelPolishMain;941642;941642;-51;-6;30;94;GP
GelPolishMain;941641;941641;-51;-6;30;94;GP
GelPolishMain;941640;941640;-51;-6;30;94;GP
GelPolishMain;941639;941639;-51;-6;30;94;GP
GelPolishMain;941638;941638;-51;-6;30;94;GP
GelPolishMain;941637;941637;-51;-6;30;94;GP
GelPolishMain;941636;941636;-51;-6;30;94;GP
GelPolishMain;941635;941635;-51;-6;30;94;GP
GelPolishMain;941634;941634;-51;-6;30;94;GP
GelPolishMain;941605;941605;-51;-6;30;94;GP
GelPolishMain;941604;941604;-51;-6;30;94;GP
GelPolishMain;941603;941603;-51;-6;30;94;GP
GelPolishMain;941602;941602;-51;-6;30;94;GP
GelPolishMain;941601;941601;-51;-6;30;94;GP
GelPolishMain;941600;941600;-51;-6;30;94;GP
GelPolishMain;941508 TOPMATTE;941508;-51;-6;30;94;GP
GelPolishMain;941507 Pure Black;941507;-51;-6;30;94;GP
GelPolishMain;941506 Pure White;941506;-51;-6;30;94;GP
GelPolishMain;941505;941505;-51;-6;30;94;GP
GelPolishMain;941504;941504;-51;-6;30;94;GP
GelPolishMain;941503;941503;-51;-6;30;94;GP
GelPolishMain;941502;941502;-51;-6;30;94;GP
GelPolishMain;941501;941501;-51;-6;30;94;GP
GelPolishMain;941500;941500;-51;-6;30;94;GP
GelPolishMain;941499;941499;-51;-6;30;94;GP
GelPolishMain;941498;941498;-51;-6;30;94;GP
GelPolishMain;941497;941497;-51;-6;30;94;GP
GelPolishMain;941496;941496;-51;-6;30;94;GP
GelPolishMain;941495;941495;-51;-6;30;94;GP
GelPolishMain;941494;941494;-51;-6;30;94;GP
GelPolishMain;941493;941493;-51;-6;30;94;GP
GelPolishMain;941492;941492;-51;-6;30;94;GP
GelPolishMain;941491;941491;-51;-6;30;94;GP
GelPolishMain;941490;941490;-51;-6;30;94;GP
GelPolishMain;941489;941489;-51;-6;30;94;GP
GelPolishMain;941488;941488;-51;-6;30;94;GP
GelPolishMain;941487;941487;-51;-6;30;94;GP
GelPolishMain;941486;941486;-51;-6;30;94;GP
GelPolishMain;941485;941485;-51;-6;30;94;GP
GelPolishMain;941484;941484;-51;-6;30;94;GP
GelPolishMain;941483;941483;-51;-6;30;94;GP
GelPolishMain;941482;941482;-51;-6;30;94;GP
GelPolishMain;941481;941481;-51;-6;30;94;GP
GelPolishMain;941480;941480;-51;-6;30;94;GP
GelPolishMain;941479;941479;-51;-6;30;94;GP
GelPolishMain;941478;941478;-51;-6;30;94;GP
GelPolishMain;941477;941477;-51;-6;30;94;GP
GelPolishMain;941476;941476;-51;-6;30;94;GP
GelPolishMain;941475;941475;-51;-6;30;94;GP
GelPolishMain;941474;941474;-51;-6;30;94;GP
GelPolishMain;941473;941473;-51;-6;30;94;GP
GelPolishMain;941472;941472;-51;-6;30;94;GP
GelPolishMain;941471;941471;-51;-6;30;94;GP
GelPolishMain;941470;941470;-51;-6;30;94;GP
GelPolishMain;941445 Top;941445;-51;-6;30;94;GP
GelPolishMain;941444 Base;941444;-51;-6;30;94;GP
GelPolishMain;941443;941443;-51;-6;30;94;GP
GelPolishMain;941442;941442;-51;-6;30;94;GP
GelPolishMain;941441;941441;-51;-6;30;94;GP
GelPolishMain;941440;941440;-51;-6;30;94;GP
GelPolishMain;941439;941439;-51;-6;30;94;GP
GelPolishMain;941438;941438;-51;-6;30;94;GP
GelPolishMain;941437;941437;-51;-6;30;94;GP
GelPolishMain;941436;941436;-51;-6;30;94;GP
GelPolishMain;941435;941435;-51;-6;30;94;GP
GelPolishMain;941434;941434;-51;-6;30;94;GP
GelPolishMain;941433;941433;-51;-6;30;94;GP
GelPolishMain;941432;941432;-51;-6;30;94;GP
GelPolishMain;941431;941431;-51;-6;30;94;GP
GelPolishMain;941430;941430;-51;-6;30;94;GP
GelPolishMain;941429;941429;-51;-6;30;94;GP
GelPolishMain;941428;941428;-51;-6;30;94;GP
GelPolishMain;941427;941427;-51;-6;30;94;GP
GelPolishMain;941426;941426;-51;-6;30;94;GP
