art;qtty;f1;f2
941736;500;Наклейка GP - Giselle 941736;1
941738;500;Наклейка GP - Nutcracker 941738;2
941735;500;Наклейка GP - Orpheus 941735;3
941737;500;Наклейка GP - Sleeping Beauty 941737;4
941740;500;Наклейка GP - Swan Lake 941740;5
941739;500;Наклейка GP - Sylfida 941739;6
941636;500;Наклейка GP - Coral Ireland 941636;7
941643;500;Наклейка GP - Cote d'azure 941643;8
941651;500;Наклейка GP - Frappe coffee 941651;9
941650;300;Наклейка GP - Jungle 941650;10
941639;500;Наклейка GP - Neon Ibiza 941639;11
941648;500;Наклейка GP - Twilight 941648;12
941445;2000;Наклейка GP - New Top 941445;13
941602;500;Наклейка GP - Betelgeuse 941602;14
941495;500;Наклейка GP - Bolivia 941495;15
941471;500;Наклейка GP - Cambridge 941471;16
941497;500;Наклейка GP - Chile 941497;17
941600;500;Наклейка GP - Deep Ocean 941600;18
941501;500;Наклейка GP - Guyana 941501;19
941475;500;Наклейка GP - Kimberley 941475;20
941413;500;Наклейка GP - Midnight Poison;21
941476;500;Наклейка GP - Montreal 941476;22
941434;500;Наклейка GP - Neon Antalya 941434;23
941431;500;Наклейка GP - Neon Barcelona;24
941440;500;Наклейка GP - Neon Haiti 941440;25
941438;500;Наклейка GP - Neon Paris;26
941482;500;Наклейка GP - New York 941482;27
941506;500;Наклейка GP - Pure white 941506;28
941410;500;Наклейка GP - Spsnish Dance;29
941504;300;Наклейка GP - Uruguay 941504;30
941473;300;Наклейка GP - Vancouver 941473;31
941474;500;Наклейка GP - Victoria 941474;32
941479;500;Наклейка GP - Windsor 941479;33
941719;500;Наклейка GP - Balinese Eye 941719;34
941725;500;Наклейка GP - Javanese 941725;35
941717;500;Наклейка GP - Turkish Van 941717;36
941689;300;Наклейка GP - Comet 941689;37
941731;500;Наклейка GP - Cancun 941731;38
941734;500;Наклейка GP - Las Salinas 941734;39
941729;500;Наклейка GP - Punta Cana 941729;40
